problem_idx,description,type,gold,question,question_orig,options,solved
132,JEE Adv 2020 Paper 2,Numeric,495,An engineer is required to visit a factory for exactly four days during the first 15 days of every month and it is mandatory that no two visits take place on consecutive days. Then what is the number of all possible ways in which such visits to the factory can be made by the engineer during 1-15 June 2021?,An engineer is required to visit a factory for exactly four days during the first 15 days of every month and it is mandatory that no two visits take place on consecutive days. Then what is the number of all possible ways in which such visits to the factory can be made by the engineer during 1-15 June 2021?,,no
133,JEE Adv 2020 Paper 2,Numeric,1080,"In a hotel, four rooms are available. Six persons are to be accommodated in these four rooms in such a way that each of these rooms contains at least one person and at most two persons. Then what is the number of all possible ways in which this can be done?","In a hotel, four rooms are available. Six persons are to be accommodated in these four rooms in such a way that each of these rooms contains at least one person and at most two persons. Then what is the number of all possible ways in which this can be done?",,no
134,JEE Adv 2020 Paper 2,Numeric,8,"Two fair dice, each with faces numbered 1,2,3,4,5 and 6, are rolled together and the sum of the numbers on the faces is observed. This process is repeated till the sum is either a prime number or a perfect square. Suppose the sum turns out to be a perfect square before it turns out to be a prime number. If $p$ is the probability that this perfect square is an odd number, then what is the value of $14 p$?","Two fair dice, each with faces numbered 1,2,3,4,5 and 6, are rolled together and the sum of the numbers on the faces is observed. This process is repeated till the sum is either a prime number or a perfect square. Suppose the sum turns out to be a perfect square before it turns out to be a prime number. If $p$ is the probability that this perfect square is an odd number, then what is the value of $14 p$?",,no
135,JEE Adv 2020 Paper 2,Numeric,19,"Let the function $f:[0,1] \rightarrow \mathbb{R}$ be defined by

\[
f(x)=\frac{4^{x}}{4^{x}+2}
\]

Then what is the value of
\[
f\left(\frac{1}{40}\right)+f\left(\frac{2}{40}\right)+f\left(\frac{3}{40}\right)+\cdots+f\left(\frac{39}{40}\right)-f\left(\frac{1}{2}\right)
\]?","Let the function $f:[0,1] \rightarrow \mathbb{R}$ be defined by

\[
f(x)=\frac{4^{x}}{4^{x}+2}
\]

Then what is the value of
\[
f\left(\frac{1}{40}\right)+f\left(\frac{2}{40}\right)+f\left(\frac{3}{40}\right)+\cdots+f\left(\frac{39}{40}\right)-f\left(\frac{1}{2}\right)
\]?",,no
136,JEE Adv 2020 Paper 2,Numeric,4,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function such that its derivative $f^{\prime}$ is continuous and $f(\pi)=-6$. If $F:[0, \pi] \rightarrow \mathbb{R}$ is defined by $F(x)=\int_{0}^{x} f(t) d t$, and if

\[
\int_{0}^{\pi}\left(f^{\prime}(x)+F(x)\right) \cos x d x=2,
\]

then what is the value of $f(0)$?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function such that its derivative $f^{\prime}$ is continuous and $f(\pi)=-6$. If $F:[0, \pi] \rightarrow \mathbb{R}$ is defined by $F(x)=\int_{0}^{x} f(t) d t$, and if

\[
\int_{0}^{\pi}\left(f^{\prime}(x)+F(x)\right) \cos x d x=2,
\]

then what is the value of $f(0)$?",,no
137,JEE Adv 2020 Paper 2,Numeric,0.5,"Let the function $f:(0, \pi) \rightarrow \mathbb{R}$ be defined by

\[
f(\theta)=(\sin \theta+\cos \theta)^{2}+(\sin \theta-\cos \theta)^{4} .
\]

Suppose the function $f$ has a local minimum at $\theta$ precisely when $\theta \in\left\{\lambda_{1} \pi, \ldots, \lambda_{r} \pi\right\}$, where $0<$ $\lambda_{1}<\cdots<\lambda_{r}<1$. Then what is the value of $\lambda_{1}+\cdots+\lambda_{r}$?","Let the function $f:(0, \pi) \rightarrow \mathbb{R}$ be defined by

\[
f(\theta)=(\sin \theta+\cos \theta)^{2}+(\sin \theta-\cos \theta)^{4} .
\]

Suppose the function $f$ has a local minimum at $\theta$ precisely when $\theta \in\left\{\lambda_{1} \pi, \ldots, \lambda_{r} \pi\right\}$, where $0<$ $\lambda_{1}<\cdots<\lambda_{r}<1$. Then what is the value of $\lambda_{1}+\cdots+\lambda_{r}$?",,no
138,JEE Adv 2021 Paper 1,MCQ,B,"Consider a triangle $\Delta$ whose two sides lie on the $x$-axis and the line $x+y+1=0$. If the orthocenter of $\Delta$ is $(1,1)$, then the equation of the circle passing through the vertices of the triangle $\Delta$ is","Consider a triangle $\Delta$ whose two sides lie on the $x$-axis and the line $x+y+1=0$. If the orthocenter of $\Delta$ is $(1,1)$, then the equation of the circle passing through the vertices of the triangle $\Delta$ is

(A) $x^{2}+y^{2}-3 x+y=0$

(B) $x^{2}+y^{2}+x+3 y=0$

(C) $x^{2}+y^{2}+2 y-1=0$

(D) $x^{2}+y^{2}+x+y=0$","{""A"": ""$x^{2}+y^{2}-3 x+y=0$"", ""B"": ""$x^{2}+y^{2}+x+3 y=0$"", ""C"": ""$x^{2}+y^{2}+2 y-1=0$"", ""D"": ""$x^{2}+y^{2}+x+y=0$""}",no
139,JEE Adv 2021 Paper 1,MCQ,A,"The area of the region

\[
\left\{(x, y): 0 \leq x \leq \frac{9}{4}, \quad 0 \leq y \leq 1, \quad x \geq 3 y, \quad x+y \geq 2\right\}
\]

is","The area of the region

\[
\left\{(x, y): 0 \leq x \leq \frac{9}{4}, \quad 0 \leq y \leq 1, \quad x \geq 3 y, \quad x+y \geq 2\right\}
\]

is

(A) $\frac{11}{32}$

(B) $\frac{35}{96}$

(C) $\frac{37}{96}$

(D) $\frac{13}{32}$","{""A"": ""$\\frac{11}{32}$"", ""B"": ""$\\frac{35}{96}$"", ""C"": ""$\\frac{37}{96}$"", ""D"": ""$\\frac{13}{32}$""}",no
140,JEE Adv 2021 Paper 1,MCQ,A,"Consider three sets $E_{1}=\{1,2,3\}, F_{1}=\{1,3,4\}$ and $G_{1}=\{2,3,4,5\}$. Two elements are chosen at random, without replacement, from the set $E_{1}$, and let $S_{1}$ denote the set of these chosen elements. Let $E_{2}=E_{1}-S_{1}$ and $F_{2}=F_{1} \cup S_{1}$. Now two elements are chosen at random, without replacement, from the set $F_{2}$ and let $S_{2}$ denote the set of these chosen elements.

Let $G_{2}=G_{1} \cup S_{2}$. Finally, two elements are chosen at random, without replacement, from the set $G_{2}$ and let $S_{3}$ denote the set of these chosen elements.

Let $E_{3}=E_{2} \cup S_{3}$. Given that $E_{1}=E_{3}$, let $p$ be the conditional probability of the event $S_{1}=\{1,2\}$. Then the value of $p$ is","Consider three sets $E_{1}=\{1,2,3\}, F_{1}=\{1,3,4\}$ and $G_{1}=\{2,3,4,5\}$. Two elements are chosen at random, without replacement, from the set $E_{1}$, and let $S_{1}$ denote the set of these chosen elements. Let $E_{2}=E_{1}-S_{1}$ and $F_{2}=F_{1} \cup S_{1}$. Now two elements are chosen at random, without replacement, from the set $F_{2}$ and let $S_{2}$ denote the set of these chosen elements.

Let $G_{2}=G_{1} \cup S_{2}$. Finally, two elements are chosen at random, without replacement, from the set $G_{2}$ and let $S_{3}$ denote the set of these chosen elements.

Let $E_{3}=E_{2} \cup S_{3}$. Given that $E_{1}=E_{3}$, let $p$ be the conditional probability of the event $S_{1}=\{1,2\}$. Then the value of $p$ is

(A) $\frac{1}{5}$

(B) $\frac{3}{5}$

(C) $\frac{1}{2}$

(D) $\frac{2}{5}$","{""A"": ""$\\frac{1}{5}$"", ""B"": ""$\\frac{3}{5}$"", ""C"": ""$\\frac{1}{2}$"", ""D"": ""$\\frac{2}{5}$""}",no
141,JEE Adv 2021 Paper 1,MCQ,C,"Let $\theta_{1}, \theta_{2}, \ldots, \theta_{10}$ be positive valued angles (in radian) such that $\theta_{1}+\theta_{2}+\cdots+\theta_{10}=2 \pi$. Define the complex numbers $z_{1}=e^{i \theta_{1}}, z_{k}=z_{k-1} e^{i \theta_{k}}$ for $k=2,3, \ldots, 10$, where $i=\sqrt{-1}$. Consider the statements $P$ and $Q$ given below:

\[
\begin{aligned}

& P:\left|z_{2}-z_{1}\right|+\left|z_{3}-z_{2}\right|+\cdots+\left|z_{10}-z_{9}\right|+\left|z_{1}-z_{10}\right| \leq 2 \pi \\

& Q:\left|z_{2}^{2}-z_{1}^{2}\right|+\left|z_{3}^{2}-z_{2}^{2}\right|+\cdots+\left|z_{10}^{2}-z_{9}^{2}\right|+\left|z_{1}^{2}-z_{10}^{2}\right| \leq 4 \pi

\end{aligned}
\]

Then,","Let $\theta_{1}, \theta_{2}, \ldots, \theta_{10}$ be positive valued angles (in radian) such that $\theta_{1}+\theta_{2}+\cdots+\theta_{10}=2 \pi$. Define the complex numbers $z_{1}=e^{i \theta_{1}}, z_{k}=z_{k-1} e^{i \theta_{k}}$ for $k=2,3, \ldots, 10$, where $i=\sqrt{-1}$. Consider the statements $P$ and $Q$ given below:

\[
\begin{aligned}

& P:\left|z_{2}-z_{1}\right|+\left|z_{3}-z_{2}\right|+\cdots+\left|z_{10}-z_{9}\right|+\left|z_{1}-z_{10}\right| \leq 2 \pi \\

& Q:\left|z_{2}^{2}-z_{1}^{2}\right|+\left|z_{3}^{2}-z_{2}^{2}\right|+\cdots+\left|z_{10}^{2}-z_{9}^{2}\right|+\left|z_{1}^{2}-z_{10}^{2}\right| \leq 4 \pi

\end{aligned}
\]

Then,

(A) $P$ is TRUE and $Q$ is FALSE

(B) $Q$ is TRUE and $P$ is FALSE

(C) both $P$ and $Q$ are TRUE

(D) both $P$ and $Q$ are FALSE","{""A"": ""$P$ is TRUE and $Q$ is FALSE"", ""B"": ""$Q$ is TRUE and $P$ is FALSE"", ""C"": ""both $P$ and $Q$ are TRUE"", ""D"": ""both $P$ and $Q$ are FALSE""}",no
142,JEE Adv 2021 Paper 1,Numeric,76.25,"Three numbers are chosen at random, one after another with replacement, from the set $S=\{1,2,3, \ldots, 100\}$. Let $p_1$ be the probability that the maximum of chosen numbers is at least 81 and $p_2$ be the probability that the minimum of chosen numbers is at most 40 . What is the value of $\frac{625}{4} p_{1}$?","Three numbers are chosen at random, one after another with replacement, from the set $S=\{1,2,3, \ldots, 100\}$. Let $p_1$ be the probability that the maximum of chosen numbers is at least 81 and $p_2$ be the probability that the minimum of chosen numbers is at most 40 . What is the value of $\frac{625}{4} p_{1}$?",,no
143,JEE Adv 2021 Paper 1,Numeric,24.5,"Three numbers are chosen at random, one after another with replacement, from the set $S=\{1,2,3, \ldots, 100\}$. Let $p_1$ be the probability that the maximum of chosen numbers is at least 81 and $p_2$ be the probability that the minimum of chosen numbers is at most 40 . What is the value of $\frac{125}{4} p_{2}$?","Three numbers are chosen at random, one after another with replacement, from the set $S=\{1,2,3, \ldots, 100\}$. Let $p_1$ be the probability that the maximum of chosen numbers is at least 81 and $p_2$ be the probability that the minimum of chosen numbers is at most 40 . What is the value of $\frac{125}{4} p_{2}$?",,no
144,JEE Adv 2021 Paper 1,Numeric,1.00,"Let $\alpha, \beta$ and $\gamma$ be real numbers such that the system of linear equations
\[\begin{gathered}
x+2 y+3 z=\alpha \\
4 x+5 y+6 z=\beta \\
7 x+8 y+9 z=\gamma-1
\end{gathered}\]
is consistent. Let $|M|$ represent the determinant of the matrix
\[M=\left[\begin{array}{ccc}
\alpha & 2 & \gamma \\
\beta & 1 & 0 \\
-1 & 0 & 1
\end{array}\right]\]
Let $P$ be the plane containing all those $(\alpha, \beta, \gamma)$ for which the above system of linear equations is consistent, and $D$ be the square of the distance of the point $(0,1,0)$ from the plane $P$. What is the value of $|\mathrm{M}|$?","Let $\alpha, \beta$ and $\gamma$ be real numbers such that the system of linear equations
\[\begin{gathered}
x+2 y+3 z=\alpha \\
4 x+5 y+6 z=\beta \\
7 x+8 y+9 z=\gamma-1
\end{gathered}\]
is consistent. Let $|M|$ represent the determinant of the matrix
\[M=\left[\begin{array}{ccc}
\alpha & 2 & \gamma \\
\beta & 1 & 0 \\
-1 & 0 & 1
\end{array}\right]\]
Let $P$ be the plane containing all those $(\alpha, \beta, \gamma)$ for which the above system of linear equations is consistent, and $D$ be the square of the distance of the point $(0,1,0)$ from the plane $P$. What is the value of $|\mathrm{M}|$?",,no
145,JEE Adv 2021 Paper 1,Numeric,1.5,"Let $\alpha, \beta$ and $\gamma$ be real numbers such that the system of linear equations
\[\begin{gathered}
x+2 y+3 z=\alpha \\
4 x+5 y+6 z=\beta \\
7 x+8 y+9 z=\gamma-1
\end{gathered}\]
is consistent. Let $|M|$ represent the determinant of the matrix
\[M=\left[\begin{array}{ccc}
\alpha & 2 & \gamma \\
\beta & 1 & 0 \\
-1 & 0 & 1
\end{array}\right]\]
Let $P$ be the plane containing all those $(\alpha, \beta, \gamma)$ for which the above system of linear equations is consistent, and $D$ be the square of the distance of the point $(0,1,0)$ from the plane $P$. What is the value of $D$?","Let $\alpha, \beta$ and $\gamma$ be real numbers such that the system of linear equations
\[\begin{gathered}
x+2 y+3 z=\alpha \\
4 x+5 y+6 z=\beta \\
7 x+8 y+9 z=\gamma-1
\end{gathered}\]
is consistent. Let $|M|$ represent the determinant of the matrix
\[M=\left[\begin{array}{ccc}
\alpha & 2 & \gamma \\
\beta & 1 & 0 \\
-1 & 0 & 1
\end{array}\right]\]
Let $P$ be the plane containing all those $(\alpha, \beta, \gamma)$ for which the above system of linear equations is consistent, and $D$ be the square of the distance of the point $(0,1,0)$ from the plane $P$. What is the value of $D$?",,no
146,JEE Adv 2021 Paper 1,Numeric,9.00,"Consider the lines $\mathrm{L}_1$ and $\mathrm{L}_2$ defined by
$\mathrm{L}_1: \mathrm{x} \sqrt{2}+\mathrm{y}-1=0$ and $\mathrm{L}_2: \mathrm{x} \sqrt{2}-\mathrm{y}+1=0$
For a fixed constant $\lambda$, let $\mathrm{C}$ be the locus of a point $\mathrm{P}$ such that the product of the distance of $\mathrm{P}$ from $\mathrm{L}_1$ and the distance of $\mathrm{P}$ from $\mathrm{L}_2$ is $\lambda^2$. The line $\mathrm{y}=2 \mathrm{x}+1$ meets $\mathrm{C}$ at two points $\mathrm{R}$ and $\mathrm{S}$, where the distance between $\mathrm{R}$ and $\mathrm{S}$ is $\sqrt{270}$.

Let the perpendicular bisector of RS meet $\mathrm{C}$ at two distinct points $\mathrm{R}^{\prime}$ and $\mathrm{S}^{\prime}$. Let $\mathrm{D}$ be the square of the distance between $\mathrm{R}^{\prime}$ and S'. What is the value of $\lambda^{2}$?","Consider the lines $\mathrm{L}_1$ and $\mathrm{L}_2$ defined by
$\mathrm{L}_1: \mathrm{x} \sqrt{2}+\mathrm{y}-1=0$ and $\mathrm{L}_2: \mathrm{x} \sqrt{2}-\mathrm{y}+1=0$
For a fixed constant $\lambda$, let $\mathrm{C}$ be the locus of a point $\mathrm{P}$ such that the product of the distance of $\mathrm{P}$ from $\mathrm{L}_1$ and the distance of $\mathrm{P}$ from $\mathrm{L}_2$ is $\lambda^2$. The line $\mathrm{y}=2 \mathrm{x}+1$ meets $\mathrm{C}$ at two points $\mathrm{R}$ and $\mathrm{S}$, where the distance between $\mathrm{R}$ and $\mathrm{S}$ is $\sqrt{270}$.

Let the perpendicular bisector of RS meet $\mathrm{C}$ at two distinct points $\mathrm{R}^{\prime}$ and $\mathrm{S}^{\prime}$. Let $\mathrm{D}$ be the square of the distance between $\mathrm{R}^{\prime}$ and S'. What is the value of $\lambda^{2}$?",,no
147,JEE Adv 2021 Paper 1,Numeric,77.14,"Consider the lines $\mathrm{L}_1$ and $\mathrm{L}_2$ defined by
$\mathrm{L}_1: \mathrm{x} \sqrt{2}+\mathrm{y}-1=0$ and $\mathrm{L}_2: \mathrm{x} \sqrt{2}-\mathrm{y}+1=0$
For a fixed constant $\lambda$, let $\mathrm{C}$ be the locus of a point $\mathrm{P}$ such that the product of the distance of $\mathrm{P}$ from $\mathrm{L}_1$ and the distance of $\mathrm{P}$ from $\mathrm{L}_2$ is $\lambda^2$. The line $\mathrm{y}=2 \mathrm{x}+1$ meets $\mathrm{C}$ at two points $\mathrm{R}$ and $\mathrm{S}$, where the distance between $\mathrm{R}$ and $\mathrm{S}$ is $\sqrt{270}$.

Let the perpendicular bisector of RS meet $\mathrm{C}$ at two distinct points $\mathrm{R}^{\prime}$ and $\mathrm{S}^{\prime}$. Let $\mathrm{D}$ be the square of the distance between $\mathrm{R}^{\prime}$ and S'. What is the value of $D$?","Consider the lines $\mathrm{L}_1$ and $\mathrm{L}_2$ defined by
$\mathrm{L}_1: \mathrm{x} \sqrt{2}+\mathrm{y}-1=0$ and $\mathrm{L}_2: \mathrm{x} \sqrt{2}-\mathrm{y}+1=0$
For a fixed constant $\lambda$, let $\mathrm{C}$ be the locus of a point $\mathrm{P}$ such that the product of the distance of $\mathrm{P}$ from $\mathrm{L}_1$ and the distance of $\mathrm{P}$ from $\mathrm{L}_2$ is $\lambda^2$. The line $\mathrm{y}=2 \mathrm{x}+1$ meets $\mathrm{C}$ at two points $\mathrm{R}$ and $\mathrm{S}$, where the distance between $\mathrm{R}$ and $\mathrm{S}$ is $\sqrt{270}$.

Let the perpendicular bisector of RS meet $\mathrm{C}$ at two distinct points $\mathrm{R}^{\prime}$ and $\mathrm{S}^{\prime}$. Let $\mathrm{D}$ be the square of the distance between $\mathrm{R}^{\prime}$ and S'. What is the value of $D$?",,no
148,JEE Adv 2021 Paper 1,MCQ(multiple),ABD,"For any $3 \times 3$ matrix $M$, let $|M|$ denote the determinant of $M$. Let

\[
E=\left[\begin{array}{ccc}

1 & 2 & 3 \\

2 & 3 & 4 \\

8 & 13 & 18

\end{array}\right], P=\left[\begin{array}{ccc}

1 & 0 & 0 \\

0 & 0 & 1 \\

0 & 1 & 0

\end{array}\right] \text { and } F=\left[\begin{array}{ccc}

1 & 3 & 2 \\

8 & 18 & 13 \\

2 & 4 & 3

\end{array}\right]
\]

If $Q$ is a nonsingular matrix of order $3 \times 3$, then which of the following statements is (are) TRUE?","For any $3 \times 3$ matrix $M$, let $|M|$ denote the determinant of $M$. Let

\[
E=\left[\begin{array}{ccc}

1 & 2 & 3 \\

2 & 3 & 4 \\

8 & 13 & 18

\end{array}\right], P=\left[\begin{array}{ccc}

1 & 0 & 0 \\

0 & 0 & 1 \\

0 & 1 & 0

\end{array}\right] \text { and } F=\left[\begin{array}{ccc}

1 & 3 & 2 \\

8 & 18 & 13 \\

2 & 4 & 3

\end{array}\right]
\]

If $Q$ is a nonsingular matrix of order $3 \times 3$, then which of the following statements is (are) TRUE?

(A) $F=P E P$ and $P^{2}=\left[\begin{array}{lll}1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1\end{array}\right]$

(B) $\left|E Q+P F Q^{-1}\right|=|E Q|+\left|P F Q^{-1}\right|$

(C) $\left|(E F)^{3}\right|>|E F|^{2}$

(D) Sum of the diagonal entries of $P^{-1} E P+F$ is equal to the sum of diagonal entries of $E+P^{-1} F P$","{""A"": ""$F=P E P$ and $P^{2}=\\left[\\begin{array}{lll}1 & 0 & 0 \\\\ 0 & 1 & 0 \\\\ 0 & 0 & 1\\end{array}\\right]$"", ""B"": ""$\\left|E Q+P F Q^{-1}\\right|=|E Q|+\\left|P F Q^{-1}\\right|$"", ""C"": ""$\\left|(E F)^{3}\\right|>|E F|^{2}$"", ""D"": ""Sum of the diagonal entries of $P^{-1} E P+F$ is equal to the sum of diagonal entries of $E+P^{-1} F P$""}",no
149,JEE Adv 2021 Paper 1,MCQ(multiple),AB,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by

\[
f(x)=\frac{x^{2}-3 x-6}{x^{2}+2 x+4}
\]

Then which of the following statements is (are) TRUE ?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by

\[
f(x)=\frac{x^{2}-3 x-6}{x^{2}+2 x+4}
\]

Then which of the following statements is (are) TRUE ?

(A) $f$ is decreasing in the interval $(-2,-1)$

(B) $f$ is increasing in the interval $(1,2)$

(C) $f$ is onto

(D) Range of $f$ is $\left[-\frac{3}{2}, 2\right]$","{""A"": ""$f$ is decreasing in the interval $(-2,-1)$"", ""B"": ""$f$ is increasing in the interval $(1,2)$"", ""C"": ""$f$ is onto"", ""D"": ""Range of $f$ is $\\left[-\\frac{3}{2}, 2\\right]$""}",no
150,JEE Adv 2021 Paper 1,MCQ(multiple),ABC,"Let $E, F$ and $G$ be three events having probabilities

\[
P(E)=\frac{1}{8}, P(F)=\frac{1}{6} \text { and } P(G)=\frac{1}{4} \text {, and let } P(E \cap F \cap G)=\frac{1}{10} \text {. }
\]

For any event $H$, if $H^{c}$ denotes its complement, then which of the following statements is (are) TRUE ?","Let $E, F$ and $G$ be three events having probabilities

\[
P(E)=\frac{1}{8}, P(F)=\frac{1}{6} \text { and } P(G)=\frac{1}{4} \text {, and let } P(E \cap F \cap G)=\frac{1}{10} \text {. }
\]

For any event $H$, if $H^{c}$ denotes its complement, then which of the following statements is (are) TRUE ?

(A) $P\left(E \cap F \cap G^{c}\right) \leq \frac{1}{40}$

(B) $P\left(E^{c} \cap F \cap G\right) \leq \frac{1}{15}$

(C) $P(E \cup F \cup G) \leq \frac{13}{24}$

(D) $P\left(E^{c} \cap F^{c} \cap G^{c}\right) \leq \frac{5}{12}$","{""A"": ""$P\\left(E \\cap F \\cap G^{c}\\right) \\leq \\frac{1}{40}$"", ""B"": ""$P\\left(E^{c} \\cap F \\cap G\\right) \\leq \\frac{1}{15}$"", ""C"": ""$P(E \\cup F \\cup G) \\leq \\frac{13}{24}$"", ""D"": ""$P\\left(E^{c} \\cap F^{c} \\cap G^{c}\\right) \\leq \\frac{5}{12}$""}",no
151,JEE Adv 2021 Paper 1,MCQ(multiple),ABC,"For any $3 \times 3$ matrix $M$, let $|M|$ denote the determinant of $M$. Let $I$ be the $3 \times 3$ identity matrix. Let $E$ and $F$ be two $3 \times 3$ matrices such that $(I-E F)$ is invertible. If $G=(I-E F)^{-1}$, then which of the following statements is (are) TRUE ?","For any $3 \times 3$ matrix $M$, let $|M|$ denote the determinant of $M$. Let $I$ be the $3 \times 3$ identity matrix. Let $E$ and $F$ be two $3 \times 3$ matrices such that $(I-E F)$ is invertible. If $G=(I-E F)^{-1}$, then which of the following statements is (are) TRUE ?

(A) $|F E|=|I-F E||F G E|$

(B) $(I-F E)(I+F G E)=I$

(C) $E F G=G E F$

(D) $(I-F E)(I-F G E)=I$","{""A"": ""$|F E|=|I-F E||F G E|$"", ""B"": ""$(I-F E)(I+F G E)=I$"", ""C"": ""$E F G=G E F$"", ""D"": ""$(I-F E)(I-F G E)=I$""}",no
152,JEE Adv 2021 Paper 1,MCQ(multiple),AB,"For any positive integer $n$, let $S_{n}:(0, \infty) \rightarrow \mathbb{R}$ be defined by

\[
S_{n}(x)=\sum_{k=1}^{n} \cot ^{-1}\left(\frac{1+k(k+1) x^{2}}{x}\right)
\]

where for any $x \in \mathbb{R}, \cot ^{-1}(x) \in(0, \pi)$ and $\tan ^{-1}(x) \in\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$. Then which of the following statements is (are) TRUE ?","For any positive integer $n$, let $S_{n}:(0, \infty) \rightarrow \mathbb{R}$ be defined by

\[
S_{n}(x)=\sum_{k=1}^{n} \cot ^{-1}\left(\frac{1+k(k+1) x^{2}}{x}\right)
\]

where for any $x \in \mathbb{R}, \cot ^{-1}(x) \in(0, \pi)$ and $\tan ^{-1}(x) \in\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$. Then which of the following statements is (are) TRUE ?

(A) $S_{10}(x)=\frac{\pi}{2}-\tan ^{-1}\left(\frac{1+11 x^{2}}{10 x}\right)$, for all $x>0$

(B) $\lim _{n \rightarrow \infty} \cot \left(S_{n}(x)\right)=x$, for all $x>0$

(C) The equation $S_{3}(x)=\frac{\pi}{4}$ has a root in $(0, \infty)$

(D) $\tan \left(S_{n}(x)\right) \leq \frac{1}{2}$, for all $n \geq 1$ and $x>0$","{""A"": ""$S_{10}(x)=\\frac{\\pi}{2}-\\tan ^{-1}\\left(\\frac{1+11 x^{2}}{10 x}\\right)$, for all $x>0$"", ""B"": ""$\\lim _{n \\rightarrow \\infty} \\cot \\left(S_{n}(x)\\right)=x$, for all $x>0$"", ""C"": ""The equation $S_{3}(x)=\\frac{\\pi}{4}$ has a root in $(0, \\infty)$"", ""D"": ""$\\tan \\left(S_{n}(x)\\right) \\leq \\frac{1}{2}$, for all $n \\geq 1$ and $x>0$""}",no
153,JEE Adv 2021 Paper 1,MCQ(multiple),BD,"For any complex number $w=c+i d$, let $\arg (\mathrm{w}) \in(-\pi, \pi]$, where $i=\sqrt{-1}$. Let $\alpha$ and $\beta$ be real numbers such that for all complex numbers $z=x+i y$ satisfying $\arg \left(\frac{z+\alpha}{z+\beta}\right)=\frac{\pi}{4}$, the ordered pair $(x, y)$ lies on the circle

\[
x^{2}+y^{2}+5 x-3 y+4=0
\]

Then which of the following statements is (are) TRUE ?","For any complex number $w=c+i d$, let $\arg (\mathrm{w}) \in(-\pi, \pi]$, where $i=\sqrt{-1}$. Let $\alpha$ and $\beta$ be real numbers such that for all complex numbers $z=x+i y$ satisfying $\arg \left(\frac{z+\alpha}{z+\beta}\right)=\frac{\pi}{4}$, the ordered pair $(x, y)$ lies on the circle

\[
x^{2}+y^{2}+5 x-3 y+4=0
\]

Then which of the following statements is (are) TRUE ?

(A) $\alpha=-1$

(B) $\alpha \beta=4$

(C) $\alpha \beta=-4$

(D) $\beta=4$","{""A"": ""$\\alpha=-1$"", ""B"": ""$\\alpha \\beta=4$"", ""C"": ""$\\alpha \\beta=-4$"", ""D"": ""$\\beta=4$""}",no
154,JEE Adv 2021 Paper 1,Integer,4,"For $x \in \mathbb{R}$, what is the number of real roots of the equation

\[
3 x^{2}-4\left|x^{2}-1\right|+x-1=0
\]?","For $x \in \mathbb{R}$, what is the number of real roots of the equation

\[
3 x^{2}-4\left|x^{2}-1\right|+x-1=0
\]?",,no
155,JEE Adv 2021 Paper 1,Integer,2,"In a triangle $A B C$, let $A B=\sqrt{23}, B C=3$ and $C A=4$. Then what is the value of

\[
\frac{\cot A+\cot C}{\cot B}
\]?","In a triangle $A B C$, let $A B=\sqrt{23}, B C=3$ and $C A=4$. Then what is the value of

\[
\frac{\cot A+\cot C}{\cot B}
\]?",,no
156,JEE Adv 2021 Paper 2,MCQ(multiple),ABD,"Let

\[
\begin{gathered}

S_{1}=\{(i, j, k): i, j, k \in\{1,2, \ldots, 10\}\}, \\

S_{2}=\{(i, j): 1 \leq i<j+2 \leq 10, i, j \in\{1,2, \ldots, 10\}\} \\

S_{3}=\{(i, j, k, l): 1 \leq i<j<k<l, i, j, k, l \in\{1,2, \ldots, 10\}\}

\end{gathered}
\]

and

\[
S_{4}=\{(i, j, k, l): i, j, k \text { and } l \text { are distinct elements in }\{1,2, \ldots, 10\}\}
\]

If the total number of elements in the set $S_{r}$ is $n_{r}, r=1,2,3,4$, then which of the following statements is (are) TRUE ?","Let

\[
\begin{gathered}

S_{1}=\{(i, j, k): i, j, k \in\{1,2, \ldots, 10\}\}, \\

S_{2}=\{(i, j): 1 \leq i<j+2 \leq 10, i, j \in\{1,2, \ldots, 10\}\} \\

S_{3}=\{(i, j, k, l): 1 \leq i<j<k<l, i, j, k, l \in\{1,2, \ldots, 10\}\}

\end{gathered}
\]

and

\[
S_{4}=\{(i, j, k, l): i, j, k \text { and } l \text { are distinct elements in }\{1,2, \ldots, 10\}\}
\]

If the total number of elements in the set $S_{r}$ is $n_{r}, r=1,2,3,4$, then which of the following statements is (are) TRUE ?

(A) $n_{1}=1000$

(B) $n_{2}=44$

(C) $n_{3}=220$

(D) $\frac{n_{4}}{12}=420$","{""A"": ""$n_{1}=1000$"", ""B"": ""$n_{2}=44$"", ""C"": ""$n_{3}=220$"", ""D"": ""$\\frac{n_{4}}{12}=420$""}",no
